=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 026 [STAGE-1 (Global-Train) | G-LR: 0.000150 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7240 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | G-LR: 0.000141 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7228 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | G-LR: 0.000131 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7209 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | G-LR: 0.000122 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7197 | Train: 100.00% | ★Test: 78.68% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | G-LR: 0.000113 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7178 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | G-LR: 0.000104 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7164 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | G-LR: 0.000095 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7156 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | G-LR: 0.000086 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7134 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 034 [STAGE-1 (Global-Train) | G-LR: 0.000078 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7130 | Train: 100.00% | ★Test: 78.86% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 035 [STAGE-1 (Global-Train) | G-LR: 0.000070 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7124 | Train: 100.00% | ★Test: 78.68% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 036 [STAGE-1 (Global-Train) | G-LR: 0.000062 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7121 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 037 [STAGE-1 (Global-Train) | G-LR: 0.000054 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7114 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
