=== THUE-ACT-50 CHL HoloEv-Net-V3 (4-Ch) LS + Cosine Annealing ===
Model Params: 11.54 M
Model FLOPs: 2.26 G
Inference Latency: 3.05 ms
=================================================
Epoch 044/200 [LR: 0.000267] -> Loss: 0.7157 | Train Top-1: 100.00% | ★Test Top-1: 68.20% (Top-5: 88.05%)
Epoch 045/200 [LR: 0.000266] -> Loss: 0.7148 | Train Top-1: 100.00% | ★Test Top-1: 67.65% (Top-5: 88.60%)
Epoch 046/200 [LR: 0.000264] -> Loss: 0.7135 | Train Top-1: 100.00% | ★Test Top-1: 68.57% (Top-5: 91.18%)
Epoch 047/200 [LR: 0.000263] -> Loss: 0.7140 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 88.60%)
Epoch 048/200 [LR: 0.000261] -> Loss: 0.7127 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 88.97%)
Epoch 049/200 [LR: 0.000259] -> Loss: 0.7121 | Train Top-1: 100.00% | ★Test Top-1: 68.20% (Top-5: 88.97%)
Epoch 050/200 [LR: 0.000258] -> Loss: 0.7123 | Train Top-1: 100.00% | ★Test Top-1: 69.12% (Top-5: 88.97%)
Epoch 051/200 [LR: 0.000256] -> Loss: 0.7122 | Train Top-1: 100.00% | ★Test Top-1: 68.01% (Top-5: 90.44%)
Epoch 052/200 [LR: 0.000254] -> Loss: 0.7130 | Train Top-1: 100.00% | ★Test Top-1: 67.65% (Top-5: 89.52%)
Epoch 053/200 [LR: 0.000253] -> Loss: 0.7123 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 89.34%)
Epoch 054/200 [LR: 0.000251] -> Loss: 0.7134 | Train Top-1: 100.00% | ★Test Top-1: 68.20% (Top-5: 89.15%)
Epoch 055/200 [LR: 0.000249] -> Loss: 0.7119 | Train Top-1: 100.00% | ★Test Top-1: 66.54% (Top-5: 89.34%)
Epoch 056/200 [LR: 0.000247] -> Loss: 0.7113 | Train Top-1: 100.00% | ★Test Top-1: 65.07% (Top-5: 89.52%)
Epoch 057/200 [LR: 0.000246] -> Loss: 0.7109 | Train Top-1: 100.00% | ★Test Top-1: 66.73% (Top-5: 89.34%)
Epoch 058/200 [LR: 0.000244] -> Loss: 0.7107 | Train Top-1: 100.00% | ★Test Top-1: 68.75% (Top-5: 90.07%)
Epoch 059/200 [LR: 0.000242] -> Loss: 0.7110 | Train Top-1: 100.00% | ★Test Top-1: 63.97% (Top-5: 88.97%)
Epoch 060/200 [LR: 0.000240] -> Loss: 0.7115 | Train Top-1: 100.00% | ★Test Top-1: 66.36% (Top-5: 89.89%)
Epoch 061/200 [LR: 0.000238] -> Loss: 0.7109 | Train Top-1: 100.00% | ★Test Top-1: 66.54% (Top-5: 90.99%)
