=== THUE-ACT-50 CHL (Two-Stream Optimized Differential Gating) ===
===================================================================
Epoch 029/100 [BaseLR: 0.000246 / Temp: 1.30] -> Loss: 0.8426 | Train Top-1: 98.37% | ★Test Top-1: 56.07% (Top-5: 85.29%) | [G-Gate: 0.444 / L-Gate: 0.556]
Epoch 030/100 [BaseLR: 0.000242 / Temp: 1.27] -> Loss: 0.8361 | Train Top-1: 98.93% | ★Test Top-1: 68.01% (Top-5: 88.05%) | [G-Gate: 0.436 / L-Gate: 0.564]
Epoch 031/100 [BaseLR: 0.000238 / Temp: 1.25] -> Loss: 0.7706 | Train Top-1: 100.00% | ★Test Top-1: 70.59% (Top-5: 90.99%) | [G-Gate: 0.446 / L-Gate: 0.554]
Epoch 032/100 [BaseLR: 0.000234 / Temp: 1.23] -> Loss: 0.7461 | Train Top-1: 100.00% | ★Test Top-1: 70.96% (Top-5: 91.54%) | [G-Gate: 0.459 / L-Gate: 0.541]
Epoch 033/100 [BaseLR: 0.000230 / Temp: 1.20] -> Loss: 0.7355 | Train Top-1: 100.00% | ★Test Top-1: 75.55% (Top-5: 91.54%) | [G-Gate: 0.460 / L-Gate: 0.540]
Epoch 034/100 [BaseLR: 0.000226 / Temp: 1.18] -> Loss: 0.7276 | Train Top-1: 100.00% | ★Test Top-1: 70.40% (Top-5: 91.91%) | [G-Gate: 0.469 / L-Gate: 0.531]
Epoch 035/100 [BaseLR: 0.000222 / Temp: 1.15] -> Loss: 0.7256 | Train Top-1: 100.00% | ★Test Top-1: 72.98% (Top-5: 91.91%) | [G-Gate: 0.475 / L-Gate: 0.525]
Epoch 036/100 [BaseLR: 0.000218 / Temp: 1.12] -> Loss: 0.7223 | Train Top-1: 100.00% | ★Test Top-1: 72.79% (Top-5: 90.44%) | [G-Gate: 0.478 / L-Gate: 0.522]
Epoch 037/100 [BaseLR: 0.000214 / Temp: 1.10] -> Loss: 0.7195 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 91.54%) | [G-Gate: 0.483 / L-Gate: 0.517]
Epoch 038/100 [BaseLR: 0.000210 / Temp: 1.07] -> Loss: 0.7207 | Train Top-1: 100.00% | ★Test Top-1: 72.79% (Top-5: 92.10%) | [G-Gate: 0.486 / L-Gate: 0.514]
Epoch 039/100 [BaseLR: 0.000205 / Temp: 1.05] -> Loss: 0.7179 | Train Top-1: 100.00% | ★Test Top-1: 71.32% (Top-5: 91.73%) | [G-Gate: 0.490 / L-Gate: 0.510]
Epoch 040/100 [BaseLR: 0.000201 / Temp: 1.02] -> Loss: 0.7185 | Train Top-1: 100.00% | ★Test Top-1: 70.22% (Top-5: 92.65%) | [G-Gate: 0.495 / L-Gate: 0.505]
Epoch 041/100 [BaseLR: 0.000196 / Temp: 1.00] -> Loss: 0.7159 | Train Top-1: 100.00% | ★Test Top-1: 70.96% (Top-5: 91.36%) | [G-Gate: 0.497 / L-Gate: 0.503]
Epoch 042/100 [BaseLR: 0.000192 / Temp: 1.00] -> Loss: 0.7150 | Train Top-1: 100.00% | ★Test Top-1: 72.98% (Top-5: 91.73%) | [G-Gate: 0.499 / L-Gate: 0.501]
