=== Class-Wise Adaptive Fusion Training Log (3-Stage with ASAM) ===
Epoch 026 [STAGE-1 (Global-Train) | G-LR: 0.000150 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7240 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | G-LR: 0.000141 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7221 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | G-LR: 0.000131 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7206 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | G-LR: 0.000122 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7195 | Train: 100.00% | ★Test: 74.82% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | G-LR: 0.000113 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7189 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | G-LR: 0.000104 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7175 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | G-LR: 0.000095 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7158 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | G-LR: 0.000086 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7155 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 034 [STAGE-1 (Global-Train) | G-LR: 0.000078 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7145 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 035 [STAGE-1 (Global-Train) | G-LR: 0.000070 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7131 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 036 [STAGE-1 (Global-Train) | G-LR: 0.000062 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7119 | Train: 100.00% | ★Test: 79.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
