=== THUE-ACT-50 CHL (2-Stage Global-First Sequential Training) ===
===================================================================
Epoch 025/100 [PHASE-1 (G-Only) | Bb-LR: 0.000259 / Gt-LR: 0.00000] -> Loss: 0.7305 | Train Top-1: 100.00% | ★Test Top-1: 73.53% (Top-5: 95.22%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 026/100 [PHASE-1 (G-Only) | Bb-LR: 0.000256 / Gt-LR: 0.00000] -> Loss: 0.7267 | Train Top-1: 100.00% | ★Test Top-1: 71.51% (Top-5: 93.93%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 027/100 [PHASE-1 (G-Only) | Bb-LR: 0.000253 / Gt-LR: 0.00000] -> Loss: 0.7248 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 94.67%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 028/100 [PHASE-1 (G-Only) | Bb-LR: 0.000249 / Gt-LR: 0.00000] -> Loss: 0.7217 | Train Top-1: 100.00% | ★Test Top-1: 75.37% (Top-5: 94.12%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 029/100 [PHASE-1 (G-Only) | Bb-LR: 0.000246 / Gt-LR: 0.00000] -> Loss: 0.7210 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 93.01%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 030/100 [PHASE-1 (G-Only) | Bb-LR: 0.000242 / Gt-LR: 0.00000] -> Loss: 0.7182 | Train Top-1: 100.00% | ★Test Top-1: 73.16% (Top-5: 94.30%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 031/100 [PHASE-1 (G-Only) | Bb-LR: 0.000238 / Gt-LR: 0.00000] -> Loss: 0.7157 | Train Top-1: 100.00% | ★Test Top-1: 72.61% (Top-5: 94.49%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 032/100 [PHASE-1 (G-Only) | Bb-LR: 0.000234 / Gt-LR: 0.00000] -> Loss: 0.7139 | Train Top-1: 100.00% | ★Test Top-1: 76.29% (Top-5: 95.04%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 033/100 [PHASE-1 (G-Only) | Bb-LR: 0.000230 / Gt-LR: 0.00000] -> Loss: 0.7142 | Train Top-1: 100.00% | ★Test Top-1: 75.74% (Top-5: 94.30%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 034/100 [PHASE-1 (G-Only) | Bb-LR: 0.000226 / Gt-LR: 0.00000] -> Loss: 0.7128 | Train Top-1: 100.00% | ★Test Top-1: 75.74% (Top-5: 95.04%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 035/100 [PHASE-1 (G-Only) | Bb-LR: 0.000222 / Gt-LR: 0.00000] -> Loss: 0.7117 | Train Top-1: 100.00% | ★Test Top-1: 75.18% (Top-5: 95.04%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 036/100 [PHASE-1 (G-Only) | Bb-LR: 0.000218 / Gt-LR: 0.00000] -> Loss: 0.7108 | Train Top-1: 100.00% | ★Test Top-1: 75.55% (Top-5: 94.67%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 037/100 [PHASE-1 (G-Only) | Bb-LR: 0.000214 / Gt-LR: 0.00000] -> Loss: 0.7105 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.40%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 038/100 [PHASE-1 (G-Only) | Bb-LR: 0.000210 / Gt-LR: 0.00000] -> Loss: 0.7097 | Train Top-1: 100.00% | ★Test Top-1: 75.18% (Top-5: 95.22%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 039/100 [PHASE-1 (G-Only) | Bb-LR: 0.000205 / Gt-LR: 0.00000] -> Loss: 0.7089 | Train Top-1: 100.00% | ★Test Top-1: 75.74% (Top-5: 94.49%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 040/100 [PHASE-1 (G-Only) | Bb-LR: 0.000201 / Gt-LR: 0.00000] -> Loss: 0.7089 | Train Top-1: 100.00% | ★Test Top-1: 76.29% (Top-5: 95.77%) | [G-Gate: 1.000 / L-Gate: 0.000]
