=== THUE-ACT-50 CHL (Two-Stream Dynamic Gating Network) ===
============================================================
Epoch 033/100 [LR: 0.000230] -> Loss: 0.7375 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 93.20%) | [G-Gate: 0.119 / L-Gate: 0.881]
Epoch 034/100 [LR: 0.000226] -> Loss: 0.7322 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 93.01%) | [G-Gate: 0.109 / L-Gate: 0.891]
Epoch 035/100 [LR: 0.000222] -> Loss: 0.7313 | Train Top-1: 100.00% | ★Test Top-1: 72.98% (Top-5: 93.01%) | [G-Gate: 0.103 / L-Gate: 0.897]
Epoch 036/100 [LR: 0.000218] -> Loss: 0.7299 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 93.93%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 037/100 [LR: 0.000214] -> Loss: 0.7317 | Train Top-1: 99.94% | ★Test Top-1: 71.51% (Top-5: 92.83%) | [G-Gate: 0.094 / L-Gate: 0.906]
Epoch 038/100 [LR: 0.000210] -> Loss: 0.7300 | Train Top-1: 100.00% | ★Test Top-1: 72.61% (Top-5: 93.93%) | [G-Gate: 0.111 / L-Gate: 0.889]
Epoch 039/100 [LR: 0.000205] -> Loss: 0.7285 | Train Top-1: 100.00% | ★Test Top-1: 69.67% (Top-5: 93.93%) | [G-Gate: 0.103 / L-Gate: 0.897]
Epoch 040/100 [LR: 0.000201] -> Loss: 0.7300 | Train Top-1: 100.00% | ★Test Top-1: 70.96% (Top-5: 92.83%) | [G-Gate: 0.107 / L-Gate: 0.893]
Epoch 041/100 [LR: 0.000196] -> Loss: 0.7251 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 93.93%) | [G-Gate: 0.103 / L-Gate: 0.897]
Epoch 042/100 [LR: 0.000192] -> Loss: 0.7280 | Train Top-1: 100.00% | ★Test Top-1: 72.61% (Top-5: 94.49%) | [G-Gate: 0.107 / L-Gate: 0.893]
Epoch 043/100 [LR: 0.000187] -> Loss: 0.7263 | Train Top-1: 100.00% | ★Test Top-1: 71.69% (Top-5: 92.83%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 044/100 [LR: 0.000183] -> Loss: 0.7270 | Train Top-1: 100.00% | ★Test Top-1: 71.88% (Top-5: 94.12%) | [G-Gate: 0.096 / L-Gate: 0.904]
Epoch 045/100 [LR: 0.000178] -> Loss: 0.7201 | Train Top-1: 100.00% | ★Test Top-1: 73.53% (Top-5: 94.67%) | [G-Gate: 0.101 / L-Gate: 0.899]
Epoch 046/100 [LR: 0.000173] -> Loss: 0.7198 | Train Top-1: 100.00% | ★Test Top-1: 72.79% (Top-5: 94.30%) | [G-Gate: 0.108 / L-Gate: 0.892]
Epoch 047/100 [LR: 0.000169] -> Loss: 0.7182 | Train Top-1: 100.00% | ★Test Top-1: 72.43% (Top-5: 94.30%) | [G-Gate: 0.117 / L-Gate: 0.883]
Epoch 048/100 [LR: 0.000164] -> Loss: 0.7201 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.30%) | [G-Gate: 0.101 / L-Gate: 0.899]
Epoch 049/100 [LR: 0.000159] -> Loss: 0.7207 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 93.20%) | [G-Gate: 0.116 / L-Gate: 0.884]
Epoch 050/100 [LR: 0.000155] -> Loss: 0.7188 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 93.93%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 051/100 [LR: 0.000150] -> Loss: 0.7167 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 94.49%) | [G-Gate: 0.095 / L-Gate: 0.905]
Epoch 052/100 [LR: 0.000145] -> Loss: 0.7196 | Train Top-1: 99.89% | ★Test Top-1: 70.04% (Top-5: 92.28%) | [G-Gate: 0.098 / L-Gate: 0.902]
Epoch 053/100 [LR: 0.000141] -> Loss: 0.7225 | Train Top-1: 100.00% | ★Test Top-1: 71.88% (Top-5: 93.38%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 054/100 [LR: 0.000136] -> Loss: 0.7178 | Train Top-1: 100.00% | ★Test Top-1: 73.16% (Top-5: 93.38%) | [G-Gate: 0.101 / L-Gate: 0.899]
Epoch 055/100 [LR: 0.000131] -> Loss: 0.7154 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 93.93%) | [G-Gate: 0.106 / L-Gate: 0.894]
Epoch 056/100 [LR: 0.000127] -> Loss: 0.7142 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 93.38%) | [G-Gate: 0.108 / L-Gate: 0.892]
Epoch 057/100 [LR: 0.000122] -> Loss: 0.7133 | Train Top-1: 100.00% | ★Test Top-1: 73.16% (Top-5: 94.30%) | [G-Gate: 0.096 / L-Gate: 0.904]
Epoch 058/100 [LR: 0.000117] -> Loss: 0.7131 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 94.30%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 059/100 [LR: 0.000113] -> Loss: 0.7131 | Train Top-1: 100.00% | ★Test Top-1: 72.79% (Top-5: 94.12%) | [G-Gate: 0.091 / L-Gate: 0.909]
Epoch 060/100 [LR: 0.000108] -> Loss: 0.7122 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 94.49%) | [G-Gate: 0.091 / L-Gate: 0.909]
Epoch 061/100 [LR: 0.000104] -> Loss: 0.7112 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 94.30%) | [G-Gate: 0.095 / L-Gate: 0.905]
Epoch 062/100 [LR: 0.000099] -> Loss: 0.7108 | Train Top-1: 100.00% | ★Test Top-1: 73.35% (Top-5: 95.04%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 063/100 [LR: 0.000095] -> Loss: 0.7099 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 94.30%) | [G-Gate: 0.111 / L-Gate: 0.889]
Epoch 064/100 [LR: 0.000090] -> Loss: 0.7100 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 93.75%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 065/100 [LR: 0.000086] -> Loss: 0.7094 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.85%) | [G-Gate: 0.097 / L-Gate: 0.903]
Epoch 066/100 [LR: 0.000082] -> Loss: 0.7092 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.04%) | [G-Gate: 0.103 / L-Gate: 0.897]
Epoch 067/100 [LR: 0.000078] -> Loss: 0.7088 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 94.49%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 068/100 [LR: 0.000074] -> Loss: 0.7091 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 94.12%) | [G-Gate: 0.117 / L-Gate: 0.883]
Epoch 069/100 [LR: 0.000070] -> Loss: 0.7089 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 94.85%) | [G-Gate: 0.097 / L-Gate: 0.903]
Epoch 070/100 [LR: 0.000066] -> Loss: 0.7084 | Train Top-1: 100.00% | ★Test Top-1: 73.53% (Top-5: 94.49%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 071/100 [LR: 0.000062] -> Loss: 0.7076 | Train Top-1: 100.00% | ★Test Top-1: 73.71% (Top-5: 94.30%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 072/100 [LR: 0.000058] -> Loss: 0.7080 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 94.49%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 073/100 [LR: 0.000054] -> Loss: 0.7078 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 94.85%) | [G-Gate: 0.116 / L-Gate: 0.884]
Epoch 074/100 [LR: 0.000051] -> Loss: 0.7078 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.098 / L-Gate: 0.902]
Epoch 075/100 [LR: 0.000047] -> Loss: 0.7077 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 94.85%) | [G-Gate: 0.093 / L-Gate: 0.907]
Epoch 076/100 [LR: 0.000044] -> Loss: 0.7073 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.04%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 077/100 [LR: 0.000041] -> Loss: 0.7073 | Train Top-1: 100.00% | ★Test Top-1: 73.71% (Top-5: 94.12%) | [G-Gate: 0.107 / L-Gate: 0.893]
Epoch 078/100 [LR: 0.000037] -> Loss: 0.7067 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 94.67%) | [G-Gate: 0.098 / L-Gate: 0.902]
Epoch 079/100 [LR: 0.000034] -> Loss: 0.7067 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 95.40%) | [G-Gate: 0.096 / L-Gate: 0.904]
Epoch 080/100 [LR: 0.000031] -> Loss: 0.7065 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.22%) | [G-Gate: 0.096 / L-Gate: 0.904]
Epoch 081/100 [LR: 0.000029] -> Loss: 0.7065 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 94.85%) | [G-Gate: 0.095 / L-Gate: 0.905]
Epoch 082/100 [LR: 0.000026] -> Loss: 0.7063 | Train Top-1: 100.00% | ★Test Top-1: 73.90% (Top-5: 95.04%) | [G-Gate: 0.104 / L-Gate: 0.896]
Epoch 083/100 [LR: 0.000023] -> Loss: 0.7061 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 94.85%) | [G-Gate: 0.103 / L-Gate: 0.897]
Epoch 084/100 [LR: 0.000021] -> Loss: 0.7064 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.04%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 085/100 [LR: 0.000019] -> Loss: 0.7062 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.22%) | [G-Gate: 0.096 / L-Gate: 0.904]
Epoch 086/100 [LR: 0.000016] -> Loss: 0.7062 | Train Top-1: 100.00% | ★Test Top-1: 73.16% (Top-5: 95.22%) | [G-Gate: 0.101 / L-Gate: 0.899]
Epoch 087/100 [LR: 0.000014] -> Loss: 0.7060 | Train Top-1: 100.00% | ★Test Top-1: 73.71% (Top-5: 95.22%) | [G-Gate: 0.098 / L-Gate: 0.902]
Epoch 088/100 [LR: 0.000012] -> Loss: 0.7059 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 94.85%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 089/100 [LR: 0.000011] -> Loss: 0.7059 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 94.67%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 090/100 [LR: 0.000009] -> Loss: 0.7054 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.22%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 091/100 [LR: 0.000007] -> Loss: 0.7058 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.098 / L-Gate: 0.902]
Epoch 092/100 [LR: 0.000006] -> Loss: 0.7058 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.04%) | [G-Gate: 0.109 / L-Gate: 0.891]
Epoch 093/100 [LR: 0.000005] -> Loss: 0.7055 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 94.85%) | [G-Gate: 0.106 / L-Gate: 0.894]
Epoch 094/100 [LR: 0.000004] -> Loss: 0.7056 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 95.40%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 095/100 [LR: 0.000003] -> Loss: 0.7053 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.22%) | [G-Gate: 0.100 / L-Gate: 0.900]
Epoch 096/100 [LR: 0.000002] -> Loss: 0.7056 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.04%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 097/100 [LR: 0.000001] -> Loss: 0.7053 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.04%) | [G-Gate: 0.101 / L-Gate: 0.899]
Epoch 098/100 [LR: 0.000001] -> Loss: 0.7055 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.59%) | [G-Gate: 0.099 / L-Gate: 0.901]
Epoch 099/100 [LR: 0.000000] -> Loss: 0.7053 | Train Top-1: 100.00% | ★Test Top-1: 74.08% (Top-5: 95.04%) | [G-Gate: 0.102 / L-Gate: 0.898]
Epoch 100/100 [LR: 0.000000] -> Loss: 0.7052 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.100 / L-Gate: 0.900]
